name,type,wattage
Aerocool Aero White 500 80 PLUS,ATX,500
Aerocool Aero White 550 80 PLUS,ATX,550
Aerocool Aero White 600 80 PLUS,ATX,600
Aerocool Aero White 650 80 PLUS,ATX,650
Aerocool Aero White 700 80 PLUS,ATX,700
Aerocool Cylon RGB 500W 80 PLUS,ATX,500
Aerocool Cylon RGB 600W 80 PLUS,ATX,600
Aerocool Cylon RGB 700W 80 PLUS,ATX,700
Aerocool Project 7,ATX,850
Aerocool Xpredator 400 80 PLUS Bronze,ATX,400
Aerocool Xpredator 500,ATX,500
Aerocool Xpredator 600,ATX,600
Aerocool Xpredator 700,ATX,700
Aerocool Xpredator 750M,ATX,750
Aerocool Xpredator Gold 650GM,ATX,650
Akasa,ITX,90
"Akasa 80 Watt DC-DC-Wandlerplatine, 12 V",,80
Akasa externes für Mini-ITX Systeme 12V,external,84
Akasa PD150-02K externes,"extern, sonstige",150
Antec EAG Pro 550W 80 PLUS Gold,ATX,550
Antec EAG Pro 650W 80 PLUS Gold,ATX,650
Antec EAG Pro 750W 80 PLUS Gold,ATX,750
Antec EDGE EDG550,ATX,550
Antec EDGE EDG650,ATX,650
Antec EDGE EDG750,ATX,750
Antec High Current Gamer,ATX,520
Antec High Current Gamer,ATX,620
Antec High Current Gamer HCG-620M,ATX,620
Antec High Current Gamer HCG-750M,ATX,750
Antec High Current Gamer HCG-850M,ATX,850
Antec High Current Gamer HCG650 80 PLUS Gold,ATX,650
Antec High Current Gamer HCG750 80 PLUS Gold,ATX,750
Antec High Current Gamer HCG850 80Plus Gold,ATX,850
Antec High Current Pro HCP-1000 Platinum,ATX,1000
Antec High Current Pro HCP-1300 Platinum,ATX,1300
Antec High Current Pro HCP-850 Platinum,ATX,850
Antec NE450M EC Semi Modular,ATX,450
Antec NE550M EC Semi Modular,ATX,550
Antec NE650M EC Semi Modular,ATX,650
Antec True Power TP550C,ATX,550
Antec True Power TP650C,ATX,650
Antec True Power TP750C,ATX,750
Antec VP Strictly Power,ATX,450
ASUS ROG Loki SFX-L 1200W,SFX-L,1200
ASUS ROG Loki SFX-L 80 PLUS Platinum netzteil,SFX-L,750
ASUS ROG Strix 1000G,ATX,1000
ASUS ROG Strix 1000W Gold Aura,ATX,1000
ASUS ROG Strix 550G 80 PLUS Gold,ATX,550
ASUS ROG Strix 650G 80 PLUS Gold,ATX,650
ASUS ROG Strix 750G 80 PLUS Gold,ATX,750
ASUS ROG Thor 80 PLUS Platinum,ATX,850
ASUS ROG Thor 80 PLUS Platinum,ATX,1200
ASUS ROG Thor 850W Platinum II,ATX,850
ASUS TUF Gaming 1000W Gold,,1000
ASUS TUF Gaming 650B 80 PLUS Bronze,ATX,650
be quiet! Dark Power 12,ATX,1000
be quiet! Dark Power 12,ATX,850
be quiet! Dark Power 12,ATX,750
be quiet! Dark Power 13,ATX,750
