name,speed,size,stick
Crucial Ballistix Sport LT Series white DDR4-2400,DDR4-2400,8,2
Crucial Ballistix Sport LT Series white DDR4-2400,DDR4-2400,32,2
Crucial Ballistix Sport LT white DDR4-2666 CL16,DDR4-2666,8,2
"Crucial Ballistix Sport Series DDR4-2400, CL16 - 16 GB Kit",DDR4-2400,16,4
Crucial Ballistix Sport XT DDR3-1600 CL9,DDR3-1600,8,2
Crucial Ballistix Tactical DDR3-1600 CL8,DDR3-1600,16,2
Crucial Ballistix Tactical DDR3-1600 CL8,DDR3-1600,8,2
Crucial Ballistix Tactical LP DDR3-1600 CL8,DDR3-1600,16,4
Crucial Ballistix Tactical LP DDR3-2133 CL10,DDR3-2133,8,1
Crucial Ballistix Tactical Tracer RGB,DDR4-2666,64,4
Crucial Ballistix Tactical Tracer RGB,DDR4-3200,8,1
Crucial Ballistix Tactical Tracer RGB,DDR4-2666,32,4
Crucial Ballistix Tactical Tracer RGB,DDR4-2666,32,4
"Crucial Ballistix Tactical, DDR4-3000, CL15 - 8 GB Kit",DDR4-3000,8,2
Crucial DDR4-2133 CL15,DDR4-2133,8,2
Crucial DDR4-2133 CL15,DDR4-2133,16,4
Crucial DDR4-2133 CL15,DDR4-2133,16,1
Crucial DDR4-2133 CL15,DDR4-2133,32,1
Crucial DDR4-2133 CL15   Reg. ECC,DDR4-2133,32,1
Crucial DDR4-2133 CL15   Reg. ECC,DDR4-2133,16,2
Crucial DDR4-2133 CL15   Reg. ECC,DDR4-2133,8,2
Crucial DDR4-2133 CL15   Reg. ECC,DDR4-2133,8,1
Crucial DDR4-2133 CL15   Reg. ECC,DDR4-2133,16,1
Crucial DDR4-2133 CL15  U,DDR4-2133,16,2
Crucial Value Series DDR4-2133,DDR4-2133,64,4
Crucial Value Series DDR4-2400,DDR4-2400,4,1
"Crucial Value Series, DDR4-2133, CL15 - 32 GB Kit",DDR4-2133,32,4
G.Skill Aegis,DDR4-3200,8,1
G.Skill Aegis,DDR4-3200,16,1
G.Skill Aegis DDR4 DDR4-2133 16GB,DDR4-2133,16,4
G.Skill Aegis DDR4 DDR4-2133 16GB,DDR4-2133,16,1
G.Skill Aegis DDR4 DDR4-2133 32GB,DDR4-2133,32,4
G.Skill Aegis DDR4 DDR4-2133 64GB,DDR4-2133,64,4
G.Skill Aegis DDR4 DDR4-2133 8GB,DDR4-2133,8,2
G.Skill Aegis DDR4 DDR4-2400 16GB,DDR4-2400,16,1
G.Skill Aegis DDR4 DDR4-2400 16GB,DDR4-2400,16,4
G.Skill Aegis DDR4 DDR4-2400 32GB,DDR4-2400,32,4
G.Skill Aegis DDR4 DDR4-2400 8GB,DDR4-2400,8,2
G.Skill Aegis DDR4 DDR4-2800 16GB,DDR4-2800,16,2
G.Skill Aegis DDR4 DDR4-2800 8GB,DDR4-2800,8,1
G.Skill AEGIS Series,DDR4-2400,64,4
G.Skill AEGIS Series,DDR4-3000,16,1
G.Skill AEGIS Series,DDR4-2400,8,1
G.Skill Aegis Series,DDR4-3200,16,2
G.Skill AEGIS Series,DDR4-3000,32,2
G.Skill Aegis Series,DDR4-3200,32,2
G.Skill AEGIS Series,DDR4-2400,16,2
G.Skill Flare X (for AMD) DDR4-2133 16GB,DDR4-2133,16,2
G.Skill Flare X (for AMD) DDR4-2133 32GB,DDR4-2133,32,2
G.Skill Flare X (for AMD) DDR4-2133 32GB,DDR4-2133,32,2
G.Skill Flare X (for AMD) DDR4-2133 32GB,DDR4-2133,32,4
G.Skill Flare X (for AMD) DDR4-2133 32GB,DDR4-2133,32,4
G.Skill Flare X (for AMD) DDR4-2400 16GB,DDR4-2400,16,2
G.Skill Flare X (for AMD) DDR4-2400 16GB,DDR4-2400,16,2
G.Skill Flare X (for AMD) DDR4-2400 16GB,DDR4-2400,16,2
G.Skill Flare X (for AMD) DDR4-2400 32GB,DDR4-2400,32,4
G.Skill Flare X (for AMD) DDR4-2400 32GB,DDR4-2400,32,2
G.Skill Flare X Series,DDR4-2400,32,2
G.Skill Flare X Series,DDR4-2400,64,4
G.Skill Flare X Series,DDR4-2400,64,4
G.Skill Flare X Series,DDR4-2400,32,4
G.Skill Flare X Series,DDR4-3200,32,4
G.Skill Flare X Series red,DDR4-2400,16,2
"G.Skill Flare X Series red, DDR4-2400 für Ryzen, CL 15 - 32 GB Quad-Kit",DDR4-2400,32,4
"G.Skill Flare X Series red, DDR4-2400 für Ryzen, CL 15 - 64 GB Quad-Kit",DDR4-2400,64,4
"G.Skill Flare X Series red, DDR4-2400 für Ryzen, CL 16 - 32 GB Dual-Kit",DDR4-2400,32,2
"G.Skill Flare X Series red, DDR4-2400 für Ryzen, CL 16 - 64 GB Quad-Kit",DDR4-2400,64,4
G.Skill Flare X Series black,DDR4-2400,32,2
G.Skill Flare X Series black,DDR4-2400,32,4
G.Skill Flare X5,DDR5-6000,32,2
G.Skill FORTIS (for AMD) DDR4-2133 32GB,DDR4-2133,32,4
G.Skill FORTIS (for AMD) DDR4-2400 16GB,DDR4-2400,16,2
G.Skill FORTIS (for AMD) DDR4-2400 32GB,DDR4-2400,32,4
G.Skill FORTIS (for AMD) DDR4-2400 32GB,DDR4-2400,32,2
G.Skill FORTIS (for AMD) DDR4-2400 64GB,DDR4-2400,64,4
G.Skill Fortis Series,DDR4-2400,16,2
G.Skill Fortis Series,DDR4-2400,64,4
"G.Skill Fortis Series black, DDR4-2400 für Ryzen, CL 15 - 32 GB Dual-Kit",DDR4-2400,32,2
"G.Skill Fortis Series black, DDR4-2400 für Ryzen, CL 16 - 32 GB Quad-Kit",DDR4-2400,32,4
G.Skill NQ-Red DDR3-1600 CL9,DDR3-1600,4,2
G.Skill Ripjaws 4 blue DDR4-3000 CL15,DDR4-3000,16,2
G.Skill Ripjaws 4 DDR4-2133 16GB,DDR4-2133,16,4
G.Skill Ripjaws 4 DDR4-2133 16GB,DDR4-2133,16,2
G.Skill Ripjaws 4 DDR4-2133 32GB,DDR4-2133,32,4
G.Skill Ripjaws 4 DDR4-2133 32GB,DDR4-2133,32,4
G.Skill Ripjaws 4 DDR4-2133 64GB,DDR4-2133,64,8
G.Skill Ripjaws 4 DDR4-2133 64GB,DDR4-2133,64,8
G.Skill Ripjaws 4 DDR4-2133 8GB,DDR4-2133,8,2
G.Skill Ripjaws 4 DDR4-2133 CL15,DDR4-2133,16,4
G.Skill Ripjaws 4 DDR4-2133 CL15,DDR4-2133,64,8
G.Skill Ripjaws 4 DDR4-2133 CL15,DDR4-2133,32,4
G.Skill Ripjaws 4 DDR4-2133 CL15,DDR4-2133,64,8
G.Skill Ripjaws 4 DDR4-2133 CL15,DDR4-2133,32,4
G.Skill Ripjaws 4 DDR4-2133 CL15,DDR4-2133,16,4
G.Skill Ripjaws 4 DDR4-2133 CL15,DDR4-2133,8,2
G.Skill Ripjaws 4 DDR4-2400 128GB,DDR4-2400,128,8
G.Skill Ripjaws 4 DDR4-2400 16GB,DDR4-2400,16,4
G.Skill Ripjaws 4 DDR4-2400 16GB,DDR4-2400,16,4
G.Skill Ripjaws 4 DDR4-2400 16GB,DDR4-2400,16,4
G.Skill Ripjaws 4 DDR4-2400 16GB,DDR4-2400,16,4
G.Skill Ripjaws 4 DDR4-2400 16GB,DDR4-2400,16,2
G.Skill Ripjaws 4 DDR4-2400 32GB,DDR4-2400,32,4
G.Skill Ripjaws 4 DDR4-2400 32GB,DDR4-2400,32,4
G.Skill Ripjaws 4 DDR4-2400 32GB,DDR4-2400,32,4
G.Skill Ripjaws 4 DDR4-2400 64GB,DDR4-2400,64,8
G.Skill Ripjaws 4 DDR4-2400 8GB,DDR4-2400,8,2
G.Skill Ripjaws 4 DDR4-2666 16GB,DDR4-2666,16,4
G.Skill Ripjaws 4 DDR4-2666 16GB,DDR4-2666,16,4
G.Skill Ripjaws 4 DDR4-2666 16GB,DDR4-2666,16,2
G.Skill Ripjaws 4 DDR4-2666 32GB,DDR4-2666,32,4
G.Skill Ripjaws 4 DDR4-2666 32GB,DDR4-2666,32,4
G.Skill Ripjaws 4 DDR4-2666 32GB,DDR4-2666,32,4
G.Skill Ripjaws 4 DDR4-2666 64GB,DDR4-2666,64,8
G.Skill Ripjaws 4 DDR4-2666 8GB,DDR4-2666,8,2
G.Skill Ripjaws 4 DDR4-2800 128GB,DDR4-2800,128,8
G.Skill Ripjaws 4 DDR4-2800 16GB,DDR4-2800,16,2
G.Skill Ripjaws 4 DDR4-2800 16GB,DDR4-2800,16,4
G.Skill Ripjaws 4 DDR4-2800 32GB,DDR4-2800,32,4
G.Skill Ripjaws 4 DDR4-2800 32GB,DDR4-2800,32,4
G.Skill Ripjaws 4 DDR4-2800 64GB,DDR4-2800,64,8
G.Skill Ripjaws 4 DDR4-2800 8GB,DDR4-2800,8,2
G.Skill Ripjaws 4 DDR4-3000 16GB,DDR4-3000,16,2
G.Skill Ripjaws 4 DDR4-3000 16GB,DDR4-3000,16,2
G.Skill Ripjaws 4 DDR4-3000 16GB,DDR4-3000,16,4
G.Skill Ripjaws 4 DDR4-3000 16GB,DDR4-3000,16,4
G.Skill Ripjaws 4 DDR4-3000 32GB,DDR4-3000,32,4
G.Skill Ripjaws 4 DDR4-3000 32GB,DDR4-3000,32,4
G.Skill Ripjaws 4 DDR4-3000 32GB,DDR4-3000,32,8
G.Skill Ripjaws 4 DDR4-3000 8GB,DDR4-3000,8,2
G.Skill Ripjaws 4 DDR4-3000 8GB,DDR4-3000,8,2
G.Skill Ripjaws 4 DDR4-3000 CL15,DDR4-3000,16,2
G.Skill Ripjaws 4 DDR4-3000 CL15,DDR4-3000,16,4
G.Skill Ripjaws 4 DDR4-3000 CL15,DDR4-3000,16,4
G.Skill Ripjaws 4 DDR4-3200 8GB,DDR4-3200,8,2
G.Skill Ripjaws 4 DDR4-3200 8GB,DDR4-3200,8,2
G.Skill Ripjaws 4 DDR4-3300 16GB,DDR4-3300,16,4
G.Skill Ripjaws 4 DDR4-3300 16GB,DDR4-3300,16,4
G.Skill Ripjaws 4 DDR4-3333 16GB,DDR4-3333,16,4
G.Skill Ripjaws 4 DDR4-3400 16GB,DDR4-3400,16,4
"G.Skill RipJaws 4 Series, DDR4-3200, CL16 - 16 GB Kit",DDR4-3200,16,4
G.Skill Ripjaws DDR3-1066 CL7,DDR3-1066,8,2
G.Skill Ripjaws DDR3-1600 CL9,DDR3-1600,8,2
G.Skill RipJaws V,DDR4-3600,16,2
G.Skill RipJaws V,DDR4-3600,32,2
G.Skill RipJaws V,DDR4-3600,64,2
G.Skill Ripjaws V,DDR4-3600,32,2
G.Skill RipJaws V,DDR4-3600,128,4
G.Skill RipJaws V,DDR4-3600,128,4
G.Skill Ripjaws V,DDR4-3200,64,2
G.Skill Ripjaws V,DDR4-3600,64,4
G.Skill Ripjaws V,DDR4-3200,128,4
G.Skill Ripjaws V DDR4-2133 32GB,DDR4-2133,32,2
G.Skill Ripjaws V DDR4-2133 32GB,DDR4-2133,32,4
G.Skill Ripjaws V DDR4-2400 16GB,DDR4-2400,16,2
G.Skill Ripjaws V DDR4-2400 16GB,DDR4-2400,16,2
G.Skill Ripjaws V DDR4-2400 16GB,DDR4-2400,16,2
G.Skill Ripjaws V DDR4-2400 16GB,DDR4-2400,16,4
G.Skill Ripjaws V DDR4-2400 32GB,DDR4-2400,32,2
G.Skill Ripjaws V DDR4-2400 32GB,DDR4-2400,32,4
G.Skill Ripjaws V DDR4-2400 8GB,DDR4-2400,8,2
G.Skill Ripjaws V DDR4-2666 16GB,DDR4-2666,16,2
G.Skill Ripjaws V DDR4-2666 16GB,DDR4-2666,16,2
G.Skill Ripjaws V DDR4-2666 16GB,DDR4-2666,16,2
G.Skill Ripjaws V DDR4-2666 16GB,DDR4-2666,16,4
G.Skill Ripjaws V DDR4-2666 32GB,DDR4-2666,32,4
G.Skill Ripjaws V DDR4-2666 32GB,DDR4-2666,32,2
G.Skill Ripjaws V DDR4-2666 64GB,DDR4-2666,64,4
G.Skill Ripjaws V DDR4-2666 8GB,DDR4-2666,8,2
G.Skill Ripjaws V DDR4-2800 16GB,DDR4-2800,16,2
G.Skill Ripjaws V DDR4-2800 16GB,DDR4-2800,16,4
G.Skill Ripjaws V DDR4-2800 16GB,DDR4-2800,16,2
G.Skill Ripjaws V DDR4-2800 16GB,DDR4-2800,16,1
G.Skill Ripjaws V DDR4-2800 16GB,DDR4-2800,16,2
G.Skill Ripjaws V DDR4-2800 16GB,DDR4-2800,16,2
G.Skill Ripjaws V DDR4-2800 16GB,DDR4-2800,16,4
G.Skill Ripjaws V DDR4-2800 32GB,DDR4-2800,32,4
G.Skill Ripjaws V DDR4-2800 32GB,DDR4-2800,32,4
G.Skill Ripjaws V DDR4-2800 32GB,DDR4-2800,32,2
G.Skill Ripjaws V DDR4-2800 32GB,DDR4-2800,32,2
G.Skill Ripjaws V DDR4-2800 64GB,DDR4-2800,64,4
G.Skill Ripjaws V DDR4-2800 64GB,DDR4-2800,64,4
G.Skill Ripjaws V DDR4-2800 8GB,DDR4-2800,8,2
G.Skill Ripjaws V DDR4-2800 8GB,DDR4-2800,8,2
G.Skill Ripjaws V DDR4-2800 8GB,DDR4-2800,8,1
G.Skill Ripjaws V DDR4-3000 128GB,DDR4-3000,128,8
G.Skill Ripjaws V DDR4-3000 128GB,DDR4-3000,128,8
G.Skill Ripjaws V DDR4-3000 16GB,DDR4-3000,16,4
G.Skill Ripjaws V DDR4-3000 16GB,DDR4-3000,16,4
G.Skill Ripjaws V DDR4-3000 16GB,DDR4-3000,16,1
G.Skill Ripjaws V DDR4-3000 16GB,DDR4-3000,16,2
G.Skill Ripjaws V DDR4-3000 16GB,DDR4-3000,16,2
G.Skill Ripjaws V DDR4-3000 16GB,DDR4-3000,16,2
G.Skill Ripjaws V DDR4-3000 16GB,DDR4-3000,16,2
G.Skill Ripjaws V DDR4-3000 16GB,DDR4-3000,16,2
G.Skill Ripjaws V DDR4-3000 32GB,DDR4-3000,32,4
G.Skill Ripjaws V DDR4-3000 32GB,DDR4-3000,32,2
G.Skill Ripjaws V DDR4-3000 32GB,DDR4-3000,32,4
G.Skill Ripjaws V DDR4-3000 32GB,DDR4-3000,32,4
G.Skill Ripjaws V DDR4-3000 32GB,DDR4-3000,32,2
G.Skill Ripjaws V DDR4-3000 32GB,DDR4-3000,32,4
G.Skill Ripjaws V DDR4-3000 32GB,DDR4-3000,32,2
G.Skill Ripjaws V DDR4-3000 64GB,DDR4-3000,64,8
G.Skill Ripjaws V DDR4-3000 64GB,DDR4-3000,64,4
G.Skill Ripjaws V DDR4-3000 64GB,DDR4-3000,64,4
G.Skill Ripjaws V DDR4-3000 64GB,DDR4-3000,64,4
G.Skill Ripjaws V DDR4-3000 64GB,DDR4-3000,64,8
G.Skill Ripjaws V DDR4-3000 8GB,DDR4-3000,8,2
G.Skill Ripjaws V DDR4-3000 8GB,DDR4-3000,8,2
G.Skill Ripjaws V DDR4-3200 16GB,DDR4-3200,16,4
G.Skill Ripjaws V DDR4-3200 16GB,DDR4-3200,16,1
G.Skill Ripjaws V DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Ripjaws V DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Ripjaws V DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Ripjaws V DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Ripjaws V DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Ripjaws V DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Ripjaws V DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Ripjaws V DDR4-3200 64GB,DDR4-3200,64,4
G.Skill Ripjaws V DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Ripjaws V DDR4-3200 8GB,DDR4-3200,8,2
G.Skill Ripjaws V DDR4-3333 16GB,DDR4-3333,16,2
G.Skill Ripjaws V DDR4-3333 16GB,DDR4-3333,16,2
G.Skill Ripjaws V DDR4-3333 32GB,DDR4-3333,32,4
G.Skill Ripjaws V DDR4-3333 32GB,DDR4-3333,32,2
G.Skill Ripjaws V DDR4-3333 32GB,DDR4-3333,32,4
G.Skill Ripjaws V DDR4-3333 64GB,DDR4-3333,64,4
G.Skill Ripjaws V DDR4-3333 64GB,DDR4-3333,64,4
G.Skill Ripjaws V DDR4-3400 32GB,DDR4-3400,32,4
G.Skill Ripjaws V DDR4-3400 64GB,DDR4-3400,64,4
G.Skill Ripjaws V DDR4-3466 16GB,DDR4-3466,16,4
G.Skill Ripjaws V DDR4-3466 32GB,DDR4-3466,32,4
G.Skill Ripjaws V DDR4-3466 32GB,DDR4-3466,32,4
G.Skill Ripjaws V DDR4-3466 8GB,DDR4-3466,8,2
G.Skill Ripjaws V DDR4-3600 16GB,DDR4-3600,16,4
G.Skill Ripjaws V DDR4-3600 32GB,DDR4-3600,32,4
G.Skill Ripjaws V DDR4-3600 8GB,DDR4-3600,8,2
G.Skill Ripjaws V DDR4-3733 8GB,DDR4-3733,8,2
G.Skill Ripjaws V DDR4-3866 8GB,DDR4-3866,8,2
G.Skill Ripjaws V DDR4-4000 8GB,DDR4-4000,8,2
G.Skill RipJaws V Series,DDR4-2666,32,1
G.Skill RipJaws V Series,DDR4-3000,16,2
G.Skill RipJaws V Series,DDR4-3200,32,1
G.Skill RipJaws V Series,DDR4-2666,64,2
G.Skill RipJaws V Series,DDR4-3200,128,4
G.Skill RipJaws V Series,DDR4-2666,128,4
G.Skill RipJaws V Series black,DDR4-3200,16,4
G.Skill RipJaws V Series black,DDR4-3000,16,2
G.Skill RipJaws-X DDR3-1333 CL9,DDR3-1333,8,1
G.Skill Ripjaws-X DDR3-1600 CL9,DDR3-1600,8,2
G.Skill Ripjaws-X DDR3-2400 CL11,DDR3-2400,32,4
G.Skill Sniper X Series,DDR4-3200,64,4
G.Skill Sniper X Series,DDR4-3200,32,4
G.Skill Sniper X Series,DDR4-3200,32,4
G.Skill Sniper X Series,DDR4-3200,64,4
G.Skill Sniper X Series,DDR4-3200,32,4
G.Skill Trident Z,DDR4-3200,32,2
G.Skill Trident Z DDR4-2800 32GB,DDR4-2800,32,2
G.Skill Trident Z DDR4-2800 8GB,DDR4-2800,8,2
G.Skill Trident Z DDR4-2800 CL14,DDR4-2800,32,1
G.Skill Trident Z DDR4-2800 CL15,DDR4-2800,16,2
G.Skill Trident Z DDR4-3000 16GB,DDR4-3000,16,2
G.Skill Trident Z DDR4-3000 16GB,DDR4-3000,16,2
G.Skill Trident Z DDR4-3000 32GB,DDR4-3000,32,4
G.Skill Trident Z DDR4-3000 64GB,DDR4-3000,64,8
G.Skill Trident Z DDR4-3000 8GB,DDR4-3000,8,2
G.Skill Trident Z DDR4-3000 CL15,DDR4-3000,32,1
G.Skill Trident Z DDR4-3000 CL15,DDR4-3000,8,2
G.Skill Trident Z DDR4-3200 128GB,DDR4-3200,128,8
G.Skill Trident Z DDR4-3200 128GB,DDR4-3200,128,8
G.Skill Trident Z DDR4-3200 128GB,DDR4-3200,128,8
G.Skill Trident Z DDR4-3200 128GB,DDR4-3200,128,8
G.Skill Trident Z DDR4-3200 128GB,DDR4-3200,128,8
G.Skill Trident Z DDR4-3200 128GB,DDR4-3200,128,8
G.Skill Trident Z DDR4-3200 16GB,DDR4-3200,16,4
G.Skill Trident Z DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Trident Z DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Trident Z DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Trident Z DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Trident Z DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Trident Z DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Trident Z DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Trident Z DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Trident Z DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Trident Z DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Trident Z DDR4-3200 32GB,DDR4-3200,32,4
G.Skill Trident Z DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Trident Z DDR4-3200 64GB,DDR4-3200,64,4
G.Skill Trident Z DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Trident Z DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Trident Z DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Trident Z DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Trident Z DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Trident Z DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Trident Z DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Trident Z DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Trident Z DDR4-3200 64GB,DDR4-3200,64,8
G.Skill Trident Z DDR4-3200 8GB,DDR4-3200,8,2
G.Skill Trident Z DDR4-3200 CL16,DDR4-3200,32,4
G.Skill Trident Z DDR4-3200 CL16,DDR4-3200,8,2
G.Skill Trident Z DDR4-3300 128GB,DDR4-3300,128,8
G.Skill Trident Z DDR4-3300 32GB,DDR4-3300,32,4
G.Skill Trident Z DDR4-3300 32GB,DDR4-3300,32,4
G.Skill Trident Z DDR4-3300 32GB,DDR4-3300,32,4
G.Skill Trident Z DDR4-3300 64GB,DDR4-3300,64,4
G.Skill Trident Z DDR4-3300 64GB,DDR4-3300,64,8
G.Skill Trident Z DDR4-3300 64GB,DDR4-3300,64,8
G.Skill Trident Z DDR4-3300 64GB,DDR4-3300,64,4
G.Skill Trident Z DDR4-3300 64GB,DDR4-3300,64,4
G.Skill Trident Z DDR4-3300 64GB,DDR4-3300,64,8
G.Skill Trident Z DDR4-3333 128GB,DDR4-3333,128,8
G.Skill Trident Z DDR4-3333 16GB,DDR4-3333,16,2
G.Skill Trident Z DDR4-3333 16GB,DDR4-3333,16,2
G.Skill Trident Z DDR4-3333 16GB,DDR4-3333,16,2
G.Skill Trident Z DDR4-3333 16GB,DDR4-3333,16,2
G.Skill Trident Z DDR4-3333 16GB,DDR4-3333,16,2
G.Skill Trident Z DDR4-3333 32GB,DDR4-3333,32,2
G.Skill Trident Z DDR4-3333 32GB,DDR4-3333,32,2
G.Skill Trident Z DDR4-3333 32GB,DDR4-3333,32,4
G.Skill Trident Z DDR4-3333 32GB,DDR4-3333,32,4
G.Skill Trident Z DDR4-3333 32GB,DDR4-3333,32,4
G.Skill Trident Z DDR4-3333 32GB,DDR4-3333,32,4
G.Skill Trident Z DDR4-3333 32GB,DDR4-3333,32,2
G.Skill Trident Z DDR4-3333 64GB,DDR4-3333,64,8
G.Skill Trident Z DDR4-3333 64GB,DDR4-3333,64,8
G.Skill Trident Z DDR4-3333 64GB,DDR4-3333,64,4
G.Skill Trident Z DDR4-3400 16GB,DDR4-3400,16,2
G.Skill Trident Z DDR4-3400 32GB,DDR4-3400,32,4
G.Skill Trident Z DDR4-3400 32GB,DDR4-3400,32,4
G.Skill Trident Z DDR4-3400 32GB,DDR4-3400,32,4
G.Skill Trident Z DDR4-3400 64GB,DDR4-3400,64,4
G.Skill Trident Z DDR4-3400 CL16,DDR4-3400,32,4
G.Skill Trident Z DDR4-3466 16GB,DDR4-3466,16,4
G.Skill Trident Z DDR4-3466 32GB,DDR4-3466,32,4
G.Skill Trident Z DDR4-3466 32GB,DDR4-3466,32,4
G.Skill Trident Z DDR4-3466 32GB,DDR4-3466,32,4
G.Skill Trident Z DDR4-3466 64GB,DDR4-3466,64,4
G.Skill Trident Z DDR4-3466 64GB,DDR4-3466,64,4
G.Skill Trident Z DDR4-3466 64GB,DDR4-3466,64,8
G.Skill Trident Z DDR4-3466 64GB,DDR4-3466,64,8
G.Skill Trident Z DDR4-3466 64GB,DDR4-3466,64,8
G.Skill Trident Z DDR4-3600 16GB,DDR4-3600,16,4
G.Skill Trident Z DDR4-3600 32GB,DDR4-3600,32,4
G.Skill Trident Z DDR4-3600 64GB,DDR4-3600,64,4
G.Skill Trident Z DDR4-3600 64GB,DDR4-3600,64,4
G.Skill Trident Z DDR4-3600 64GB,DDR4-3600,64,4
G.Skill Trident Z DDR4-3600 8GB,DDR4-3600,8,2
G.Skill Trident Z DDR4-3733 16GB,DDR4-3733,16,2
G.Skill Trident Z DDR4-3733 16GB,DDR4-3733,16,2
G.Skill Trident Z DDR4-3733 16GB,DDR4-3733,16,4
G.Skill Trident Z DDR4-3733 8GB,DDR4-3733,8,2
G.Skill Trident Z DDR4-3866 16GB,DDR4-3866,16,2
G.Skill Trident Z DDR4-3866 16GB,DDR4-3866,16,2
G.Skill Trident Z DDR4-3866 16GB,DDR4-3866,16,2
G.Skill Trident Z DDR4-3866 16GB,DDR4-3866,16,4
G.Skill Trident Z DDR4-3866 32GB,DDR4-3866,32,4
G.Skill Trident Z DDR4-3866 32GB,DDR4-3866,32,4
G.Skill Trident Z DDR4-3866 32GB,DDR4-3866,32,4
G.Skill Trident Z DDR4-3866 8GB,DDR4-3866,8,2
G.Skill Trident Z DDR4-4000 16GB,DDR4-4000,16,2
G.Skill Trident Z DDR4-4000 16GB,DDR4-4000,16,2
G.Skill Trident Z DDR4-4000 16GB,DDR4-4000,16,2
G.Skill Trident Z DDR4-4000 16GB,DDR4-4000,16,2
G.Skill Trident Z DDR4-4000 16GB,DDR4-4000,16,2
G.Skill Trident Z DDR4-4000 16GB,DDR4-4000,16,2
G.Skill Trident Z DDR4-4000 32GB,DDR4-4000,32,4
G.Skill Trident Z DDR4-4000 32GB,DDR4-4000,32,4
G.Skill Trident Z DDR4-4000 32GB,DDR4-4000,32,4
G.Skill Trident Z DDR4-4000 8GB,DDR4-4000,8,2
G.Skill Trident Z DDR4-4133 16GB,DDR4-4133,16,2
G.Skill Trident Z DDR4-4133 16GB,DDR4-4133,16,2
G.Skill Trident Z DDR4-4133 16GB,DDR4-4133,16,2
G.Skill Trident Z DDR4-4133 16GB,DDR4-4133,16,2
G.Skill Trident Z DDR4-4133 8GB,DDR4-4133,8,2
G.Skill Trident Z DDR4-4266 16GB,DDR4-4266,16,2
G.Skill Trident Z DDR4-4266 16GB,DDR4-4266,16,2
G.Skill Trident Z DDR4-4266 16GB,DDR4-4266,16,2
G.Skill Trident Z DDR4-4266 8GB,DDR4-4266,8,2
G.Skill Trident Z Neo,DDR4-3600,64,2
G.Skill Trident Z Neo,DDR4-3600,32,2
G.Skill Trident Z Neo,DDR4-3600,64,4
G.Skill Trident Z Neo Series,DDR4-3000,16,2
G.Skill Trident Z Neo Series,DDR4-3000,32,2
G.Skill Trident Z Neo Series,DDR4-2666,32,2
G.Skill Trident Z Neo Series,DDR4-2666,32,4
G.Skill Trident Z Neo Series,DDR4-3600,64,4
G.Skill Trident Z Neo Series,DDR4-3200,32,4
G.Skill Trident Z Neo Series,DDR4-2666,16,2
G.Skill Trident Z Neo Series,DDR4-3000,32,4
G.Skill Trident Z Neo Series,DDR4-3200,32,4
G.Skill Trident Z Neo Series,DDR4-3000,64,4
G.Skill Trident Z Neo Series,DDR4-2666,64,4
G.Skill Trident Z Neo Series,DDR4-3200,64,4
G.Skill Trident Z Neo Series,DDR4-3600,64,4
G.Skill Trident Z Neo Series,DDR4-3600,64,4
G.Skill Trident Z Neo Series,DDR4-3200,64,4
G.Skill Trident Z RGB,DDR4-3866,32,2
G.Skill Trident Z RGB,DDR4-3600,64,2
G.Skill Trident Z RGB,DDR4-3600,32,2
G.Skill Trident Z RGB,DDR4-3200,64,2
G.Skill Trident Z RGB,DDR4-3600,128,4
G.Skill Trident Z RGB,DDR4-3600,64,4
G.Skill Trident Z RGB,DDR4-3200,128,4
G.Skill Trident Z RGB DDR4-2400 16GB,DDR4-2400,16,2
G.Skill Trident Z RGB DDR4-2400 32GB,DDR4-2400,32,4
G.Skill Trident Z RGB DDR4-2400 64GB,DDR4-2400,64,4
