name,supported_socket,type
Akasa AK-CC4008HP01 Venom Voodoo  - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Akasa AK-CC4009EP01 Venom Pico  - 92mm,"1150, 1151, 1155, 1156, 775, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",Air
Akasa AK-CC4010HP01 Medusa  - 120/140mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Akasa AK-CC6308EP01 Low Profile  - 92mm,"1200, 1150, 1151, 1155, 1156",Air
Akasa AK-CC6601EP01 Low Profile - socket LGA 1700,1700,Air
Akasa AK-CC6602HP01 Low Profile - socket LGA 1700,1700,Air
Akasa AK-CC6603EP01 Low Profile - socket LGA 1700,1700,Air
Akasa AK-CC6606BP01 Low Profile - socket LGA 1700,1700,Air
Akasa AK-CC6607EP01 Low Profile - socket LGA 1700,1700,Air
Akasa AK-CC6608BP01 Low Profile - socket LGA 1700,1700,Air
Akasa AK-CC6609EP01 Low Profile - socket LGA 1700,1700,Air
Akasa AK-CC7108EP01  - 92mm,"1150, 1151, 1155, 1156, 775",Air
Akasa AK-CC7117EP01 K32  - 92mm,"1150, 1151, 1155, 1156, 775",Air
Akasa AK-CC7118HP01 K25  - 74mm,"1150, 1151, 1155, 1156, 775",Air
Akasa AK-CC7122BP01 Low Profile  - 74mm,"1150, 1151, 1155, 1156, 775",Air
Akasa AK-CC7124EP01 Low Profile  - 74mm,"1150, 1151, 1155, 1156",Air
Akasa AK-CC7129BP01 Low Profile  - 74mm,"1150, 1151, 1155, 1156, 775",Air
Akasa AK-CC7401BT01 1U Low Profile - socket LGA 1700,"1700, 1200, 1150, 1152, 1151, 1155, 1156, 775",Air
Akasa AK-CC7402BT01 2U Low Profile - socket LGA 1700,"1356 , 1700, 1366, 1200, 1150, 1152, 1151, 1155, 1156",Air
Akasa AK-CCE-7101CP  mit Kugellager für 775/115X - 92mm,"1150, 1151, 1155, 1156, 775",Air
Akasa AK-CCE-7106HP Low Profile  Intel - 74mm,"1150, 1151, 1155, 1156, 775",Air
Akasa Alucia H4 High Performance Processor Kühler,"1200, 1150, 1151, 1155, 1156, 2011, 2066, AM4",Air
Akasa Alucia H4 Plus High Performance Processor Kühler,"2066, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4",Air
Akasa Aluminium Kühler 50mm Fan socket A,"Sockel A, Sockel 370",Air
Akasa Dual Socket Low Noise PWM  für 775/115X - 80mm,"1150, 1151, 1155, 1156, 775",Air
