name,capacity,type,unit,form_factor
Western Digital Blue 3D 500 GB,500,SSD,GB,2.5
Western Digital Blue 3D M.2 - 1 TB 1000 GB,1,SSD,TB,m.2
Western Digital Blue 3D M.2 - 2 TB 2000 GB,2,SSD,TB,m.2
Western Digital Blue 3D M.2 Solid State Drive 250 GB,250,SSD,GB,m.2
Western Digital Blue 3D M.2 Solid State Drive 500 GB,500,SSD,GB,m.2
Western Digital Blue M.2 Solid State Drive,500,SSD,GB,m.2
Western Digital Blue M.2 Solid State Drive,1,SSD,TB,m.2
Western Digital Blue M.2 Solid State Drive,250,SSD,GB,m.2
Western Digital Blue SN500 NVMe 500 GB,500,SSD,GB,m.2
Western Digital Blue SN550 NVMe 2000 GB,2,SSD,TB,m.2
Western Digital Blue SN550 NVMe 250 GB,250,SSD,GB,m.2
Western Digital Blue SN580 500 GB,500,SSD,GB,m.2
Western Digital Green,120,SSD,GB,2.5
Western Digital Green,240,SSD,GB,2.5
Western Digital Green 120 GB,120,SSD,GB,2.5
Western Digital Green 240 GB,240,SSD,GB,2.5
Western Digital Green M.2 Solid State Drive,240,SSD,GB,m.2
Western Digital Green M.2 Solid State Drive 120 GB,120,SSD,GB,m.2
Western Digital Green M.2 Solid State Drive 240 GB,240,SSD,GB,m.2
Western Digital WD Blue SN580 NVMe M.2 Solid State Drive 2000 GB,2,SSD,TB,m.2
ZOTAC T400,120,SSD,GB,2.5
