name,capacity,type,unit,form_factor
Corsair MP600 GS 1000 GB,1,SSD,TB,m.2
Corsair MP600 GS 2000 GB,2,SSD,TB,m.2
Corsair MP600 GS 500 GB,500,SSD,GB,m.2
Corsair MP600 Micro 1000 GB,1,SSD,TB,m.2
Corsair MP600 Pro Hydro X Edition 2000 GB,2,SSD,TB,m.2
Corsair MP600 Pro LPX 1000 GB,1,SSD,TB,m.2
Corsair MP600 Pro LPX 2000 GB,2,SSD,TB,m.2
Corsair MP600 Pro LPX 4000 GB,4,SSD,TB,m.2
Corsair MP600 Pro LPX 500 GB,500,SSD,GB,m.2
Corsair MP600 Pro NH 1000 GB,1,SSD,TB,m.2
Corsair MP600 Pro NH 2000 GB,2,SSD,TB,m.2
Corsair MP600 Pro NH 4000 GB,4,SSD,TB,m.2
Corsair MP600 Pro XT 1000 GB,1,SSD,TB,m.2
Corsair MP600 Pro XT 2000 GB,2,SSD,TB,m.2
Corsair MP600 Pro XT 4000 GB,4,SSD,TB,m.2
Corsair MP600 R2 1000 GB,1,SSD,TB,m.2
Corsair MP700 Pro 1000 GB,1,SSD,TB,m.2
Corsair MP700 Pro 2000 GB,2,SSD,TB,m.2
Corsair MP700 Pro Hydro X 2000 GB,2,SSD,TB,m.2
Corsair Neutron Series XTi,480,SSD,GB,2.5
Corsair Neutron Series XTi,960,SSD,GB,2.5
Corsair Neutron Series XTi,240,SSD,GB,2.5
Corsair Neutron Series XTi,1,SSD,TB,2.5
Crucial BX500  - 1 TB 1000 GB,1,SSD,TB,2.5
Crucial BX500  - 120 GB 120 GB,120,SSD,GB,2.5
Crucial BX500  - 2 TB 2000 GB,2,SSD,TB,2.5
Crucial BX500  - 240 GB 240 GB,240,SSD,GB,2.5
Crucial BX500  - 480 GB 480 GB,480,SSD,GB,2.5
Crucial BX500  - 960 GB 960 GB,960,SSD,GB,2.5
Crucial MX300,275,SSD,GB,2.5
Crucial MX300,525,SSD,GB,2.5
Crucial MX300,1,SSD,TB,2.5
Crucial MX300,2,SSD,TB,2.5
Crucial MX300  275GB  TLC,275,SSD,GB,m.2
Crucial MX300 M.2 Solid State Drive,525,SSD,GB,m.2
Crucial MX300 M.2 Solid State Drive,1,SSD,TB,m.2
Crucial MX500 250 GB,250,SSD,GB,2.5
Crucial MX500 M.2 Solid State Drive 1000 GB,1,SSD,TB,m.2
Crucial MX500 M.2 Solid State Drive 250 GB,250,SSD,GB,m.2
Crucial MX500 M.2 Solid State Drive 500 GB,500,SSD,GB,m.2
Crucial P5 1000 GB,1,SSD,TB,m.2
Crucial P5 2000 GB,2,SSD,TB,m.2
Crucial P5 250 GB,250,SSD,GB,m.2
Crucial P5 500 GB,500,SSD,GB,m.2
Crucial P5 Plus 1000 GB,1,SSD,TB,m.2
Crucial P5 Plus 2000 GB,2,SSD,TB,m.2
Crucial P5 Plus 500 GB,500,SSD,GB,m.2
Gigabyte,512,SSD,GB,m.2
Gigabyte 1000 GB,1,SSD,TB,m.2
Gigabyte 1000 GB,1,SSD,TB,2.5
Gigabyte 120 GB,120,SSD,GB,2.5
Gigabyte 128 GB,128,SSD,GB,m.2
Gigabyte 240 GB,240,SSD,GB,2.5
Gigabyte 256 GB,256,SSD,GB,2.5
Gigabyte 256 GB,256,SSD,GB,m.2
Gigabyte 480 GB,480,SSD,GB,2.5
Gigabyte 512 GB,512,SSD,GB,m.2
Gigabyte Aorus 1000 GB,1,SSD,TB,m.2
Gigabyte Aorus 256 GB,256,SSD,GB,m.2
Gigabyte Aorus 512 GB,512,SSD,GB,m.2
Gigabyte UD PRO Series 1000 GB,1,SSD,TB,2.5
Gigabyte UD Pro Series 256 GB,256,SSD,GB,2.5
Gigabyte UD PRO Series 512 GB,512,SSD,GB,2.5
Gigabyte UD PRO Series 512 GB,512,SSD,GB,2.5
HyperX Fury Series,120,SSD,GB,2.5
HyperX Fury Series,240,SSD,GB,2.5
HyperX Fury Series,480,SSD,GB,2.5
HyperX Predator Solid State Drive,240,SSD,GB,m.2
HyperX Predator Solid State Drive,480,SSD,GB,m.2
HyperX Savage Series,120,SSD,GB,2.5
HyperX Savage Series,240,SSD,GB,2.5
HyperX Savage Series,480,SSD,GB,2.5
HyperX Savage Series,960,SSD,GB,2.5
Intel  DC S3510 Serie 120GB,120,SSD,GB,2.5
Intel  DC S3510 Serie 480GB,480,SSD,GB,2.5
Intel  DC S3510 Serie 800GB,800,SSD,GB,2.5
Intel  DC S3710 Serie 200GB,200,SSD,GB,2.5
Intel  DC S3710 Serie 400GB,400,SSD,GB,2.5
Intel 535 Series  120GB MLC  -,120,SSD,GB,m.2
Intel 540s Series,120,SSD,GB,2.5
Intel 540s Series,180,SSD,GB,2.5
Intel 540s Series,360,SSD,GB,2.5
Intel 540s Series,480,SSD,GB,2.5
Intel 540s Series,240,SSD,GB,2.5
Intel 540s Series,1,SSD,TB,2.5
Intel 540s Series  240GB TLC  -,240,SSD,GB,m.2
Intel 540s Series Solid State Drive,1,SSD,TB,m.2
