name,price
G.Skill Aegis DDR4 DDR4-3000 8GB,23.99
G.Skill Flare X (for AMD) DDR4-2133 16GB,84.99
G.Skill Flare X Series,77.99
G.Skill Ripjaws V DDR4-3200 16GB,43.99
G.Skill Ripjaws V DDR4-3200 16GB,46.99
G.Skill Ripjaws V DDR4-3200 16GB,63.99
G.Skill Ripjaws V DDR4-3200 16GB,89.99
G.Skill Ripjaws V DDR4-3200 16GB,89.99
G.Skill Ripjaws V DDR4-3200 16GB,89.99
G.Skill Ripjaws V DDR4-3200 32GB,169.99
G.Skill Ripjaws V DDR4-3200 32GB,229.99
G.Skill Ripjaws V DDR4-3200 32GB,229.99
G.Skill Ripjaws V DDR4-3200 32GB,259.99
G.Skill Ripjaws V DDR4-3200 64GB,144.99
G.Skill Ripjaws V DDR4-3200 64GB,469.99
G.Skill Ripjaws V DDR4-3200 64GB,539.99
G.Skill Ripjaws V DDR4-3200 8GB,114.19
G.Skill Ripjaws V DDR4-3400 16GB,89.99
G.Skill Ripjaws V DDR4-3400 32GB,214.99
G.Skill Ripjaws V DDR4-3466 16GB,94.99
G.Skill Ripjaws V DDR4-3466 16GB,94.99
G.Skill Ripjaws V DDR4-3600 16GB,119.99
G.Skill Ripjaws V DDR4-3600 16GB,134.99
G.Skill RipJaws V Series,46.99
G.Skill RipJaws V Series,73.99
G.Skill RipJaws V Series,134.99
G.Skill RipJaws V Series,139.99
G.Skill RipJaws V Series,254.99
G.Skill Sniper X Series,46.99
G.Skill Sniper X Series,46.99
G.Skill Sniper X Series,74.99
G.Skill Sniper X Series,74.99
G.Skill Sniper X Series,78.99
G.Skill Sniper X Series,78.99
G.Skill Trident Z DDR4-3200 16GB,54.99
G.Skill Trident Z DDR4-3200 16GB,54.99
G.Skill Trident Z DDR4-3200 16GB,67.99
G.Skill Trident Z DDR4-3200 16GB,74.99
G.Skill Trident Z DDR4-3200 16GB,75.99
G.Skill Trident Z DDR4-3200 16GB,87.99
G.Skill Trident Z DDR4-3200 16GB,104.99
G.Skill Trident Z DDR4-3200 16GB,129.99
G.Skill Trident Z DDR4-3200 16GB,144.99
G.Skill Trident Z DDR4-3200 16GB,144.99
G.Skill Trident Z DDR4-3200 16GB,149.99
G.Skill Trident Z DDR4-3200 32GB,104.99
G.Skill Trident Z DDR4-3200 32GB,169.99
G.Skill Trident Z DDR4-3200 32GB,174.99
G.Skill Trident Z DDR4-3200 32GB,184.99
G.Skill Trident Z DDR4-3200 32GB,229.99
G.Skill Trident Z DDR4-3200 32GB,239.99
G.Skill Trident Z DDR4-3200 32GB,239.99
G.Skill Trident Z DDR4-3200 32GB,239.99
G.Skill Trident Z DDR4-3200 32GB,269.99
G.Skill Trident Z DDR4-3200 32GB,269.99
G.Skill Trident Z DDR4-3200 32GB,269.99
G.Skill Trident Z DDR4-3200 32GB,390.43
G.Skill Trident Z DDR4-3200 32GB,390.43
G.Skill Trident Z DDR4-3200 64GB,204.99
G.Skill Trident Z DDR4-3200 64GB,249.99
G.Skill Trident Z DDR4-3200 64GB,369.99
G.Skill Trident Z DDR4-3200 64GB,464.99
G.Skill Trident Z DDR4-3200 64GB,469.99
G.Skill Trident Z DDR4-3200 64GB,549.99
G.Skill Trident Z DDR4-3200 64GB,554.99
G.Skill Trident Z DDR4-3200 8GB,105.0
G.Skill Trident Z DDR4-3400 32GB,219.99
G.Skill Trident Z DDR4-3466 16GB,81.99
G.Skill Trident Z DDR4-3466 16GB,89.99
G.Skill Trident Z DDR4-3466 16GB,89.99
G.Skill Trident Z DDR4-3466 16GB,104.99
G.Skill Trident Z DDR4-3466 32GB,162.99
G.Skill Trident Z DDR4-3466 32GB,184.99
G.Skill Trident Z DDR4-3600 16GB,124.99
G.Skill Trident Z DDR4-3600 16GB,129.99
G.Skill Trident Z DDR4-3600 16GB,129.99
G.Skill Trident Z DDR4-3600 16GB,144.99
G.Skill Trident Z DDR4-3600 16GB,144.99
G.Skill Trident Z Neo Series,65.99
G.Skill Trident Z Neo Series,66.99
G.Skill Trident Z Neo Series,77.99
G.Skill Trident Z Neo Series,92.99
G.Skill Trident Z Neo Series,109.08
G.Skill Trident Z Neo Series,117.99
G.Skill Trident Z Neo Series,154.99
G.Skill Trident Z Neo Series,169.99
G.Skill Trident Z Neo Series,169.99
G.Skill Trident Z Neo Series,239.99
G.Skill Trident Z Neo Series,299.99
G.Skill Trident Z RGB DDR4-3200 16GB,59.99
G.Skill Trident Z RGB DDR4-3200 16GB,104.99
G.Skill Trident Z RGB DDR4-3200 32GB,77.99
G.Skill Trident Z RGB DDR4-3200 64GB,499.99
G.Skill Trident Z RGB DDR4-3200 64GB,569.99
G.Skill Trident Z RGB DDR4-3466 16GB,124.99
G.Skill Trident Z RGB DDR4-3600 16GB,149.99
G.Skill Trident Z RGB DDR4-3600 16GB,164.99
G.Skill Trident Z RGB Series für AMD,66.99
G.Skill Trident Z RGB Series für AMD,89.99
G.Skill Trident Z RGB Series für AMD Ryzen,59.99
G.Skill Trident Z RGB Series für AMD Ryzen,109.99
G.Skill Trident Z Royal Series gold,82.99
G.Skill Trident Z Royal Series gold,129.49
G.Skill Trident Z Royal Series gold,129.99
G.Skill Trident Z Royal Series gold,174.99
G.Skill Trident Z Royal Series silver,84.99
G.Skill Trident Z Royal Series silver,88.53
G.Skill Trident Z Royal Series silver,171.99
G.Skill Trident Z Royal Series silver,186.99
G.Skill Trident Z Series,1028.97
G.Skill Trident Z Series silver/red,124.99
G.Skill Trident Z Series silver/red,144.99
"G.Skill Trident Z Series, DDR4-3000, CL14 - 64 GB Quad-Kit",339.99
G.Skill Value DDR4-2400 8GB,42.99
Gigabyte Aorus RGB Memory,149.99
Gigabyte Aorus RGB Memory,169.99
HyperX Fury blue DDR3-1600 CL10,22.99
HyperX Fury blue DDR3-1600 CL10,41.99
HyperX Fury blue DDR3-1600 CL10,68.99
HyperX Fury blue DDR3-1600 CL10,76.99
HyperX Fury blue DDR3-1866 CL10,23.99
HyperX Fury blue DDR3-1866 CL10,44.99
HyperX Fury blue DDR3-1866 CL10,45.99
HyperX Fury blue DDR3-1866 CL10,76.99
HyperX Fury red DDR3-1600 CL10,44.99
HyperX Fury red DDR3-1600 CL10,49.99
HyperX Fury red DDR3-1600 CL10,88.99
HyperX Fury red DDR3-1866 CL10,22.99
HyperX Fury red DDR3-1866 CL10,42.99
HyperX Fury red DDR3-1866 CL10,45.99
HyperX Fury red DDR3-1866 CL10,76.99
HyperX Fury black DDR3-1600 CL10,22.3
HyperX Fury black DDR3-1600 CL10,42.99
HyperX Fury black DDR3-1600 CL10,45.99
HyperX Fury black DDR3-1600 CL10,76.99
HyperX Fury black DDR3-1866 CL10,22.99
HyperX Fury black DDR3-1866 CL10,38.99
HyperX Fury black DDR3-1866 CL10,41.99
HyperX Fury black DDR3-1866 CL10,102.99
HyperX Fury black DDR4-2133 CL14,35.99
HyperX Fury black DDR4-2133 CL14,128.65
HyperX Fury black DDR4-2133 CL14,140.4
HyperX Fury black DDR4-2133 CL14,149.96
HyperX Fury black DDR4-2133 CL14,267.11
HyperX Fury black DDR4-2666 CL15,97.99
HyperX Fury white DDR3-1600 CL10,20.99
HyperX Fury white DDR3-1600 CL10,38.99
HyperX Fury white DDR3-1600 CL10,46.99
HyperX Fury white DDR3-1600 CL10,79.36
HyperX Fury white DDR3-1866 CL10,22.99
HyperX Fury white DDR3-1866 CL10,41.99
HyperX Fury white DDR3-1866 CL10,42.99
HyperX Predator DDR4-3000 CL15,149.99
HyperX Predator DDR4-3000 CL15,194.36
HyperX Predator DDR4-3200 CL16,92.0
HyperX Savage red DDR3-1866 CL9,133.74
HyperX Savage black DDR4-2400 CL12 XMP,339.11
Kingston Fury Beast,57.99
Kingston Fury Beast,115.99
Kingston Fury Beast Black,49.99
Kingston Fury Beast Black,94.99
Kingston Value  DDR3-1600  CL11,21.69
Kingston Value  DDR4-2400  CL17,39.41
Kingston Value  DDR4-2400  CL17,69.5
Kingston Value DDR3-1600  CL11,42.99
Kingston Value DDR3-1600  CL11,73.99
Thermaltake Toughram RGB DDR4-3200 CL16 - 16 GB Dual-Kit,99.99
Thermaltake Toughram RGB DDR4-3600 CL18 - 16 GB Dual-Kit,114.99
ADATA Premier Series DDR3-1600 CL11,59.99
ADATA XPC V1.0 DDR3-1600 CL9,55.32
ADATA XPC V1.0 DDR3-1600 CL9,78.13
ADATA XPG Spectrix RGB D41 grey,80.18
Ballistix Elite DDR4-2666 CL16,39.95
Ballistix Tactical DDR4-3000 CL15,62.99
Corsair 16GB,47.99
Corsair 1GB DDR Memory,18.75
Corsair 1GB DDR Memory,24.19
Corsair 1GB DDR2 Memory,6.72
Corsair 1GB DDR2 Memory,118.88
Corsair 2GB DDR2 Memory,30.82
Corsair 2GB Dual Channel DDR Memory Kit,40.0
Corsair 2GB Dual Channel DDR2 Memory Kit,28.99
Corsair 8GB,16.61
Corsair 8GB,27.99
Corsair 8GB Dual Channel DDR3 Memory Kit,41.99
Corsair Dominator Platinum + AF,114.96
Corsair Dominator Platinum + AF,189.99
"Corsair Dominator Platinum + AF, DDR4-3600, CL 16 - 32 GB Quad Kit",554.99
"Corsair Dominator Platinum + AF, DDR4-3600, CL 18 - 16 GB Quad Kit",114.21
"Corsair Dominator Platinum + AF, DDR4-3733, CL 17 - 8 GB Dual Kit",87.11
"Corsair Dominator Platinum + AF, DDR4-3866, CL 18 - 8 GB Dual Kit",158.8
Corsair Dominator Platinum DDR4-2400 CL14,1175.38
Corsair Dominator Platinum DDR4-2666 CL15,264.99
Corsair Dominator Platinum DDR4-2666 CL15,759.99
Corsair Dominator Platinum DDR4-2800 CL14,617.71
Corsair Dominator Platinum DDR4-3000 CL15,99.66
Corsair Dominator Platinum DDR4-3000 CL15,109.99
Corsair Dominator Platinum DDR4-3000 CL16,1203.13
Corsair Dominator Platinum DDR4-3200 CL16,2999.99
Corsair Dominator Platinum RGB,144.99
Corsair Dominator Platinum RGB,149.99
Corsair Dominator Platinum RGB,204.99
Corsair Dominator Platinum RGB,219.99
Corsair Dominator Platinum RGB,259.99
Corsair Dominator Platinum RGB,299.99
Corsair Dominator Platinum RGB,319.99
Corsair Dominator Platinum RGB,319.99
Corsair Dominator Platinum RGB,329.99
Corsair Dominator Platinum RGB,331.99
Corsair Dominator Platinum RGB,339.99
Corsair Dominator Platinum RGB Series,144.99
Corsair Dominator Platinum RGB Series,184.99
Corsair Dominator Platinum RGB Series,214.99
Corsair Dominator Platinum RGB Series,214.99
Corsair Dominator Platinum RGB Series,225.99
Corsair Dominator Platinum RGB Series,282.99
Corsair Dominator Platinum RGB Series,359.99
Corsair Dominator Platinum RGB Series,439.99
Corsair Dominator Platinum RGB Series,481.63
Corsair Dominator Platinum RGB Series,549.99
Corsair Dominator Platinum RGB Series,1199.99
Corsair Dominator Platinum ROG Edition 32GB,449.09
Corsair Dominator Platinum Series,1312.24
Corsair Dominator Platinum Series 128GB,789.99
Corsair Dominator Platinum Series 16GB,93.6
Corsair Dominator Platinum Series 16GB,124.28
Corsair Dominator Platinum Series 16GB,141.89
Corsair Dominator Platinum Series 16GB,199.99
Corsair Dominator Platinum Series 16GB,240.98
Corsair Dominator Platinum Series 16GB,259.99
Corsair Dominator Platinum Series 16GB,269.99
Corsair Dominator Platinum Series 16GB,342.99
Corsair Dominator Platinum Series 16GB,5000.0
Corsair Dominator Platinum Series 32GB,117.38
Corsair Dominator Platinum Series 32GB,117.38
Corsair Dominator Platinum Series 32GB,118.88
Corsair Dominator Platinum Series 32GB,123.48
Corsair Dominator Platinum Series 32GB,179.99
Corsair Dominator Platinum Series 32GB,182.99
Corsair Dominator Platinum Series 32GB,236.99
Corsair Dominator Platinum Series 32GB,526.99
Corsair Dominator Platinum Series 32GB,567.99
Corsair Dominator Platinum Series 32GB,629.75
Corsair Dominator Platinum Series 32GB,1385.49
Corsair Dominator Platinum Series 64GB,117.38
Corsair Dominator Platinum Series 64GB,301.99
Corsair Dominator Platinum Series 64GB,329.99
Corsair Dominator Platinum Series 64GB,329.99
Corsair Dominator Platinum Series 64GB,677.06
Corsair Dominator Platinum Series 64GB,718.79
Corsair Dominator Platinum Series 64GB,1011.99
Corsair Dominator Platinum Series 64GB,1026.99
Corsair Dominator Platinum Series 64GB,1074.99
Corsair Dominator Platinum Series DDR4-2666,92.99
Corsair Dominator Platinum Series DDR4-2666,179.99
"Corsair Dominator Platinum Series DDR4-3000, CL15 - 16 GB Quad Kit",252.56
"Corsair Dominator Platinum Series DDR4-3200, CL16 - 16 GB Quad Kit",213.98
Corsair Dominator Platinum Series — 16GB,124.28
Corsair Dominator Platinum Series — 16GB,124.28
Corsair Dominator Platinum Series — 16GB,124.28
Corsair Dominator Platinum Series — 16GB,165.35
Corsair Dominator Platinum Series — 16GB,532.0
Corsair Dominator Platinum Series — 16GB,621.6
Corsair Dominator Platinum Series — 16GB,772.69
Corsair Dominator Platinum Series — 16GB,1004.97
Corsair Dominator Platinum Series — 16GB,1032.6
Corsair Dominator Platinum Series — 16GB,1153.75
Corsair Dominator Platinum Series — 16GB,1469.1
Corsair Dominator Platinum Series — 16GB,1860.6
Corsair Dominator Titanium DDR5-6000,159.99
Corsair Dominator Titanium DDR5-6000,159.99
Corsair Dominator Titanium DDR5-6000,167.99
Corsair Dominator Titanium DDR5-6000,234.99
Corsair Dominator Titanium DDR5-6000,278.99
Corsair Dominator Titanium DDR5-6000,278.99
Corsair Dominator Titanium DDR5-6000,326.99
Corsair Dominator Titanium DDR5-6400,164.99
Corsair Dominator Titanium DDR5-6400,174.99
Corsair Dominator Titanium DDR5-6400,294.99
Corsair Dominator Titanium DDR5-6400,305.99
Corsair Dominator Titanium DDR5-6400,349.99
Corsair Dominator Titanium DDR5-6600,174.99
Corsair Dominator Titanium DDR5-6600,181.99
Corsair Dominator Titanium DDR5-6600,300.14
Corsair Dominator Titanium DDR5-7200,182.99
Corsair LED 32GB,471.99
Corsair LED 32GB,692.55
Corsair Low Profile Blue — 16GB Dual Channel DDR3 Memory Kit,311.57
Corsair Low Profile Blue — 4GB Dual Channel DDR3 Memory Kit,116.09
Corsair Low Profile White — 1.35V 8GB Dual Channel DDR3L Memory Kit,168.88
Corsair Low Profile — 16GB Dual Channel DDR3 Memory Kit,83.6
Corsair Low Profile — 32GB Dual/Quad Channel DDR3 Memory Kit,159.99
Corsair Low Profile — 32GB Dual/Quad Channel DDR3 Memory Kit,245.66
Corsair Low Profile — 4GB Dual Channel DDR3 Memory Kit,39.81
Corsair Low Profile — 8GB DDR3 Memory Kit,64.89
Corsair LP 16GB,137.07
Corsair LP 4GB,43.99
Corsair LP 8GB,72.83
Corsair LP Memory 16GB 1866MHz CL10 DDR3,613.51
Corsair LP Memory 32GB 1866MHz CL10 DDR3 Dual/Quad Kit,1013.33
Corsair LPX 128GB,369.99
Corsair LPX 16GB,39.99
Corsair LPX 16GB,42.99
Corsair LPX 16GB,44.99
Corsair LPX 16GB,49.99
Corsair LPX 16GB,73.99
Corsair LPX 16GB,80.77
Corsair LPX 16GB,84.99
Corsair LPX 16GB,86.99
Corsair LPX 16GB,93.99
Corsair LPX 16GB,109.92
Corsair LPX 16GB,119.98
Corsair LPX 16GB,126.21
Corsair LPX 16GB,129.99
Corsair LPX 16GB,175.89
Corsair LPX 16GB,177.99
Corsair LPX 16GB,225.08
Corsair LPX 16GB,235.5
Corsair LPX 16GB,249.99
Corsair LPX 16GB,464.39
Corsair LPX 32GB,84.99
Corsair LPX 32GB,524.99
Corsair LPX 32GB,541.99
Corsair LPX 32GB,1001.99
Corsair Memory — 32GB 1866MHz CL9 DDR3,124.28
Corsair Pro Series 16GB,137.07
Corsair Pro Series 16GB,632.97
Corsair Pro Series 16GB,1180.05
Corsair Pro Series 32GB,124.28
Corsair Pro Series 32GB,1180.89
Corsair Pro Series — 16GB,106.14
Corsair Pro Series — 16GB,125.34
Corsair Pro Series — 16GB,146.35
Corsair Pro Series — 16GB,168.99
Corsair Pro Series — 32GB,182.99
Corsair Pro Series — 32GB,184.99
Corsair Pro Series — 32GB,187.67
Corsair Pro Series — 32GB,189.04
Corsair Pro Series — 32GB,268.02
Corsair Pro Series — 64GB,350.96
Corsair Pro Series — 8GB,39.99
Corsair Pro Series — 8GB,42.99
Corsair Pro Series — 8GB,50.23
Corsair Pro Series — 8GB,63.1
Corsair Pro Series — 8GB,91.74
Corsair Pro Series — 8GB,124.28
Corsair Pro Series — 8GB,124.28
Corsair Pro Series — 8GB,258.6
Corsair Pro Series — 8GB,297.96
Corsair Pro Series — 8GB,314.0
Corsair RGB 16GB,86.46
