name,price
EVGA GeForce GTX 1070 SC 2 Gaming iCX,512.76
EVGA GeForce GTX 1070 SC Gaming ACX 3.0,420.0
EVGA GeForce GTX 1070 SC Gaming ACX 3.0 Black Edition,479.99
EVGA GeForce GTX 1070 Ti FTW Ultra Silent,569.99
EVGA GeForce GTX 1070 Ti FTW2 Gaming iCX,535.06
EVGA GeForce GTX 1070 Ti Gaming,369.99
EVGA GeForce GTX 1070 Ti SC Gaming ACX 3.0 Black Edition,503.39
EVGA GeForce GTX 1070 Ti SC Hybrid,542.49
EVGA GeForce GTX 1080 Founders Edition,699.99
EVGA GeForce GTX 1080 FTW DT Gaming ACX 3.0,529.99
EVGA GeForce GTX 1080 FTW Gaming ACX 3.0,850.0
EVGA GeForce GTX 1080 FTW Hybrid Gaming,609.99
EVGA GeForce GTX 1080 FTW2 Gaming iCX,569.0
EVGA GeForce GTX 1080 Gaming,429.99
EVGA GeForce GTX 1080 SC 2 Gaming iCX,629.99
EVGA GeForce GTX 1080 SC Gaming ACX 3.0,629.99
EVGA GeForce GTX 1080 Ti FTW3 Gaming iCX,789.99
EVGA GeForce GTX 1080 Ti FTW3 Hybrid Gaming,799.99
EVGA GeForce GTX 1080 Ti SC Black Edition iCX,789.99
EVGA GeForce GTX 1080 Ti SC2 Gaming iCX,769.99
EVGA GeForce GTX 1080 Ti SC2 Hybrid Gaming iCX,779.89
EVGA GeForce GTX 1650 KO Ultra Gaming,175.99
EVGA GeForce GTX 1650 SC Ultra Gaming,179.99
EVGA GeForce GTX 1650 SC Ultra Gaming GDDR6,172.14
EVGA GeForce GTX 1650 Super SC Ultra,199.99
EVGA GeForce GTX 1660 SC Ultra Gaming,249.99
EVGA GeForce GTX 1660 Super Black Gaming,239.99
EVGA GeForce GTX 1660 Super SC Ultra,249.99
EVGA GeForce GTX 1660 Super SC Ultra Black,239.99
EVGA GeForce GTX 1660 Ti SC Ultra Gaming,299.99
EVGA GeForce GTX 1660 Ti XC Black Gaming,279.99
EVGA GeForce GTX 1660 Ti XC Gaming,269.99
EVGA GeForce GTX 1660 XC,229.99
EVGA GeForce GTX 1660 XC Black,212.14
EVGA GeForce GTX 1660 XC Ultra,244.12
EVGA GeForce GTX 750 Superclocked,129.99
EVGA GeForce RTX 2060 KO Gaming,301.66
EVGA GeForce RTX 2060 KO Ultra Gaming,259.99
EVGA GeForce RTX 2060 SC Gaming,293.99
EVGA GeForce RTX 2060 Super SC Black,399.99
EVGA GeForce RTX 2060 Super SC Ultra Gaming,415.98
EVGA GeForce RTX 2060 Super XC Gaming,459.99
EVGA GeForce RTX 2060 Super XC Ultra Gaming,469.99
EVGA GeForce RTX 2060 XC Black Gaming,340.99
EVGA GeForce RTX 2060 XC Gaming,360.99
EVGA GeForce RTX 2060 XC Ultra Black Gaming,389.99
EVGA GeForce RTX 2060 XC Ultra Gaming,379.99
EVGA GeForce RTX 2070 Black Edition,497.09
EVGA GeForce RTX 2070 Super Black Gaming,519.99
EVGA GeForce RTX 2070 Super FTW3 Ultra Gaming,583.48
EVGA GeForce RTX 2070 Super FTW3 Ultra+,629.99
EVGA GeForce RTX 2070 Super Gaming,529.99
EVGA GeForce RTX 2070 Super KO Gaming,524.99
EVGA GeForce RTX 2070 Super XC Gaming,539.99
EVGA GeForce RTX 2070 Super XC Hybrid Gaming,599.99
EVGA GeForce RTX 2070 Super XC Ultra Gaming,569.99
EVGA GeForce RTX 2070 Super XC Ultra+,589.99
EVGA GeForce RTX 2070 XC,499.99
EVGA GeForce RTX 2070 XC Ultra,599.99
EVGA GeForce RTX 2080 Super Black Gaming,719.99
EVGA GeForce RTX 2080 Super FTW3 Hybrid,789.99
EVGA GeForce RTX 2080 Super FTW3 Hydro Copper Gaming,879.99
EVGA GeForce RTX 2080 Super FTW3 Ultra Gaming,779.99
EVGA GeForce RTX 2080 Super KO Gaming,729.99
EVGA GeForce RTX 2080 Super XC Gaming,749.99
EVGA GeForce RTX 2080 Super XC Hybrid Gaming,789.99
EVGA GeForce RTX 2080 Super XC Ultra Gaming,758.12
EVGA GeForce RTX 2080 Ti,1309.99
EVGA GeForce RTX 2080 Ti Black Edition Gaming,1139.99
EVGA GeForce RTX 2080 Ti FTW3 Hydro Copper iCX,1599.99
EVGA GeForce RTX 2080 Ti FTW3 Ultra Gaming iCX,1499.0
EVGA GeForce RTX 2080 Ti FTW3 Ultra Hybrid Gaming,1499.99
EVGA GeForce RTX 2080 Ti K|NGP|N Gaming,1899.99
EVGA GeForce RTX 2080 Ti XC,1229.99
EVGA GeForce RTX 2080 Ti XC Hybrid Gaming,1399.99
EVGA GeForce RTX 2080 Ti XC Ultra,1247.0
EVGA GeForce RTX 2080 Ti XC2 Ultra Gaming,1234.99
EVGA GeForce RTX 2080 XC,699.99
EVGA GeForce RTX 2080 XC Ultra,799.99
EVGA GeForce RTX 3060 Ti FTW3 Ultra Gaming,499.99
EVGA GeForce RTX 3060 Ti FTW3 Ultra Gaming LHR,539.99
EVGA GeForce RTX 3060 Ti XC Gaming,459.99
EVGA GeForce RTX 3060 XC Gaming,399.99
EVGA GeForce RTX 3070 FTW3 Ultra Gaming LHR,599.99
EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming LHR,651.09
EVGA GeForce RTX 3070 Ti XC3 Ultra Gaming LHR,669.99
EVGA GeForce RTX 3080 FTW3 Gaming,859.99
EVGA GeForce RTX 3080 FTW3 Ultra Gaming,899.99
EVGA GeForce RTX 3080 FTW3 Ultra Gaming,1299.99
